GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
5133584,160,51,,,,,,Groveton CDP,14598,5634,21296,8275,3538,5297
5133648,160,51,,,,,,Grundy town,1021,465,1105,519,210,250
5133824,160,51,,,,,,Gwynn CDP,602,654,,,183,
5134064,160,51,,,,,,Halifax town,1309,605,1389,583,331,349
5134176,160,51,,,,,,Hallwood town,206,108,290,121,51,73
5134304,160,51,,,,,,Hampden-Sydney CDP,1450,197,1264,184,108,118
5135000,160,51,,,,,,Hampton city,137436,59566,146437,57311,35061,35911
5135160,160,51,,,,,,Hanover CDP,252,117,,,66,
5135240,160,51,,,,,,Harborton CDP,131,94,,,40,
5135624,160,51,,,,,,Harrisonburg city,48914,17444,40468,13689,7515,6442
5135640,160,51,,,,,,Harriston CDP,909,369,,,248,
5135912,160,51,,,,,,Hayfield CDP,3909,1465,,,1115,
5135976,160,51,,,,,,Haymarket town,1782,621,879,337,460,235
5136008,160,51,,,,,,Haysi town,498,128,186,99,65,56
5136216,160,51,,,,,,Heathsville CDP,142,102,,,41,
5136445,160,51,,,,,,Henry Fork CDP,1234,551,,,314,
5136648,160,51,,,,,,Herndon town,23292,7813,21655,7190,5357,4968
5137032,160,51,,,,,,Highland Springs CDP,15711,6621,15137,6040,4157,4132
5137288,160,51,,,,,,Hillsboro town,80,38,96,41,25,28
5137544,160,51,,,,,,Hiwassee CDP,264,192,,,77,
5138032,160,51,,,,,,Hollymead CDP,7690,3013,,,2077,
5138424,160,51,,,,,,Hopewell city,22591,10121,22354,9749,5877,6073
5138504,160,51,,,,,,Horntown CDP,574,1142,,,169,
5138552,160,51,,,,,,Horse Pasture CDP,2227,1026,2255,1021,629,674
5138632,160,51,,,,,,Hot Springs CDP,738,571,,,176,
5139224,160,51,,,,,,Hurt town,1304,642,1276,592,387,386
5139304,160,51,,,,,,Hybla Valley CDP,15801,6060,16721,6515,3672,4214
5139448,160,51,,,,,,Idylwood CDP,17288,7138,16005,6727,4177,3833
5139544,160,51,,,,,,Independent Hill CDP,7419,2286,,,2023,
5139920,160,51,,,,,,Innsbrook CDP,7753,3332,,,1969,
5140024,160,51,,,,,,Iron Gate town,388,183,404,197,107,122
5140088,160,51,,,,,,Irvington town,432,374,673,325,142,175
5140216,160,51,,,,,,Ivanhoe CDP,551,263,,,154,
5140232,160,51,,,,,,Ivor town,339,156,320,152,99,100
5140248,160,51,,,,,,Ivy CDP,905,378,,,262,
5140536,160,51,,,,,,Jarratt town,638,304,589,293,176,176
5141144,160,51,,,,,,Jolivue CDP,1129,601,1037,594,269,249
5141272,160,51,,,,,,Jonesville town,1034,606,995,565,268,262
5142104,160,51,,,,,,Keokee CDP,416,188,316,147,110,89
5142264,160,51,,,,,,Keysville town,832,401,817,398,192,195
5142424,160,51,,,,,,Kilmarnock town,1487,810,1244,607,343,305
5142536,160,51,,,,,,King and Queen Court House CDP,85,54,,,24,
5142568,160,51,,,,,,King George CDP,4457,1681,,,1155,
5142664,160,51,,,,,,Kings Park CDP,4333,1453,,,1132,
5142680,160,51,,,,,,Kings Park West CDP,13390,4439,,,3533,
5142746,160,51,,,,,,Kingstowne CDP,15556,7048,,,3979,
5142792,160,51,,,,,,King William CDP,252,111,,,69,
5143176,160,51,,,,,,La Crosse town,604,299,618,314,148,161
5143224,160,51,,,,,,Lafayette CDP,449,210,,,127,
5143352,160,51,,,,,,Lake Barcroft CDP,9558,3731,8906,3673,2457,2416
5143359,160,51,,,,,,Lake Caroline CDP,2260,1035,,,621,
5143392,160,51,,,,,,Lake Holiday CDP,1905,844,,,551,
5143420,160,51,,,,,,Lake Land'Or CDP,4223,1639,,,1120,
5143424,160,51,,,,,,Lake Monticello CDP,9920,4265,6852,2950,2993,2196
5143430,160,51,,,,,,Lake of the Woods CDP,7177,3631,,,2253,
5143432,160,51,,,,,,Lake Ridge CDP,41058,15678,30404,11265,10745,8102
5143464,160,51,,,,,,Lakeside CDP,11849,5680,11157,5177,2871,2908
5143600,160,51,,,,,,Lake Wilderness CDP,2669,899,,,698,
5144048,160,51,,,,,,Lansdowne CDP,11253,4421,,,2956,
5144280,160,51,,,,,,Laurel CDP,16713,7268,14875,6522,3858,3633
5144430,160,51,,,,,,Laurel Hill CDP,6855,2312,,,1759,
5144476,160,51,,,,,,Laurel Park CDP,675,332,781,342,198,231
5144620,160,51,,,,,,Laymantown CDP,1979,787,2034,794,615,653
5144952,160,51,,,,,,Lee Mont CDP,125,60,,,32,
5144984,160,51,,,,,,Leesburg town,42616,15119,28311,10671,10522,7258
5145512,160,51,,,,,,Lexington city,7042,2546,6867,2376,1028,1080
5145784,160,51,,,,,,Lincolnia CDP,22855,8555,15788,5255,5407,3705
5145957,160,51,,,,,,Linton Hall CDP,35725,10633,8620,2851,9021,2349
5146328,160,51,,,,,,Loch Lomond CDP,3701,1081,3411,1063,817,866
5146760,160,51,,,,,,Long Branch CDP,7593,2652,,,2084,
5147064,160,51,,,,,,Lorton CDP,18610,6726,17786,5892,4637,3883
5147136,160,51,,,,,,Loudoun Valley Estates CDP,3656,1025,,,948,
5147144,160,51,,,,,,Louisa town,1555,750,1401,620,343,331
5147208,160,51,,,,,,Lovettsville town,1613,599,853,325,424,230
5147224,160,51,,,,,,Lovingston CDP,520,262,,,114,
5147296,160,51,,,,,,Lowes Island CDP,10756,3627,,,2968,
5147352,160,51,,,,,,Low Moor CDP,258,133,367,161,77,106
5147496,160,51,,,,,,Lunenburg CDP,165,69,,,52,
5147528,160,51,,,,,,Luray town,4895,2270,4871,2191,1287,1332
5147672,160,51,,,,,,Lynchburg city,75568,31992,65269,27640,16368,15588
5147720,160,51,,,,,,Lyndhurst CDP,1490,633,1527,602,427,447
5148376,160,51,,,,,,McLean CDP,48115,17756,38929,14735,13453,11051
5148445,160,51,,,,,,McMullin CDP,464,208,,,144,
5148450,160,51,,,,,,McNair CDP,17513,7823,,,4332,
5148488,160,51,,,,,,Madison town,229,107,210,115,54,57
5148520,160,51,,,,,,Madison Heights CDP,11285,4840,11584,4656,3040,3181
5148776,160,51,,,,,,Makemie Park CDP,155,72,,,38,
5148952,160,51,,,,,,Manassas city,37821,13123,35135,12114,8895,8437
5148968,160,51,,,,,,Manassas Park city,14273,4904,10290,3365,3212,2558
5148996,160,51,,,,,,Manchester CDP,10804,4821,,,2767,
5149144,160,51,,,,,,Mantua CDP,7135,2766,7485,2723,1936,1938
5149320,160,51,,,,,,Mappsburg CDP,60,28,,,19,
5149336,160,51,,,,,,Mappsville CDP,440,167,,,93,
5149464,160,51,,,,,,Marion town,5968,2822,6349,2865,1484,1614
5149656,160,51,,,,,,Marshall CDP,1480,578,,,359,
5149792,160,51,,,,,,Marumsco CDP,35036,11975,,,7794,
5149998,160,51,,,,,,Mason Neck CDP,2005,800,,,584,
5150020,160,51,,,,,,Massanetta Springs CDP,4833,1999,,,1336,
5150030,160,51,,,,,,Massanutten CDP,2291,2692,1945,1051,676,583
5150104,160,51,,,,,,Mathews CDP,555,272,,,123,
5150136,160,51,,,,,,Matoaca CDP,2403,991,2273,911,656,651
5150200,160,51,,,,,,Maurertown CDP,770,337,,,203,
5150312,160,51,,,,,,Max Meadows CDP,562,261,512,235,171,154
5150568,160,51,,,,,,Meadowbrook CDP,18312,7103,,,4842,
5150776,160,51,,,,,,Meadow View CDP,967,455,,,262,
5150856,160,51,,,,,,Mechanicsville CDP,36348,14267,30464,11915,10189,8831
5151192,160,51,,,,,,Merrifield CDP,15212,6477,11170,4534,3588,2725
5151208,160,51,,,,,,Merrimac CDP,2133,1142,1751,934,426,354
5151362,160,51,,,,,,Metompkin CDP,551,291,,,117,
5151432,160,51,,,,,,Middlebrook CDP,213,101,,,65,
5151512,160,51,,,,,,Middletown town,1265,556,1015,432,332,281
5151544,160,51,,,,,,Midland CDP,218,94,,,51,
5152120,160,51,,,,,,Mineral town,467,204,424,196,119,116
5152408,160,51,,,,,,Modest Town CDP,149,78,,,42,
5152658,160,51,,,,,,Montclair CDP,19570,6831,15728,5184,5467,4326
5152680,160,51,,,,,,Monterey town,147,121,158,141,46,44
5152904,160,51,,,,,,Montrose CDP,7993,3579,7018,3081,2048,1851
5152968,160,51,,,,,,Montvale CDP,698,328,,,195,
5153031,160,51,,,,,,Moorefield Station CDP,77,91,,,20,
5153480,160,51,,,,,,Motley CDP,1015,490,,,303,
5153584,160,51,,,,,,Mountain Road CDP,1100,529,,,331,
5153864,160,51,,,,,,Mount Crawford town,433,201,254,109,124,74
5153944,160,51,,,,,,Mount Hermon CDP,3966,1676,,,1228,
5154120,160,51,,,,,,Mount Sidney CDP,663,288,,,193,
5154904,160,51,,,,,,Narrows town,2029,941,2111,971,582,601
5154984,160,51,,,,,,Nassawadox town,499,239,572,207,106,121
5155000,160,51,,,,,,Nathalie CDP,183,93,,,50,
5155272,160,51,,,,,,Neabsco CDP,12068,4114,,,3061,
5155400,160,51,,,,,,Nellysford CDP,1076,702,,,396,
5155448,160,51,,,,,,Nelsonia CDP,523,215,,,131,
5155528,160,51,,,,,,New Baltimore CDP,8119,2772,,,2299,
5155592,160,51,,,,,,New Castle town,153,84,179,93,39,51
5155608,160,51,,,,,,New Church CDP,205,112,,,64,
5155720,160,51,,,,,,New Hope CDP,797,318,,,243,
5155758,160,51,,,,,,Newington Forest CDP,12442,4338,,,3374,
5155800,160,51,,,,,,New Kent CDP,239,83,,,73,
5156000,160,51,,,,,,Newport News city,180719,76198,180150,74117,44887,46358
5156048,160,51,,,,,,New River CDP,244,130,,,78,
5156096,160,51,,,,,,Newsoms town,321,163,282,141,90,78
5156304,160,51,,,,,,Nickelsville town,383,204,448,210,114,118
5156464,160,51,,,,,,Nokesville CDP,1354,511,1236,462,382,364
5157000,160,51,,,,,,Norfolk city,242803,95018,234403,94416,50756,51915
5157531,160,51,,,,,,North Shore CDP,3094,2950,2112,1919,1078,748
5157560,160,51,,,,,,North Springfield CDP,7274,2480,9173,3291,1791,2471
5157688,160,51,,,,,,Norton city,3958,1945,3904,1946,999,1067
5157870,160,51,,,,,,Nottoway Court House CDP,84,40,,,23,
5158104,160,51,,,,,,Oak Grove CDP,1777,540,,,397,
5158184,160,51,,,,,,Oak Hall CDP,255,124,,,74,
5158312,160,51,,,,,,Oak Level CDP,857,439,885,465,253,278
