GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
5125008,160,51,,,,,,Edinburg town,1041,543,813,425,1041,813,941,764,24,1,3,3,1,0,0,0,58,30,14,15
5125408,160,51,,,,,,Elkton town,2726,1314,2042,919,2726,2042,2565,1950,100,56,0,3,13,5,0,0,17,1,31,27
5125488,160,51,,,,,,Elliston CDP,902,386,,,902,,817,,34,,3,,2,,0,,46,,0,
5125792,160,51,,,,,,Emory CDP,1251,310,,,1251,,1140,,69,,3,,16,,1,,3,,19,
5125808,160,51,,,,,,Emporia city,5927,2565,5665,2412,5927,5665,1937,2405,3706,3181,19,4,43,30,4,4,127,17,91,24
5125877,160,51,,,,,,Enon CDP,3466,1626,,,3466,,2788,,495,,8,,48,,1,,57,,69,
5125968,160,51,,,,,,Esmont CDP,528,243,,,528,,217,,269,,5,,0,,1,,21,,15,
5126128,160,51,,,,,,Ettrick CDP,6682,1746,5627,1673,6682,5627,1165,1209,5236,4228,20,18,22,29,0,5,59,56,180,82
5126496,160,51,,,,,,Fairfax city,22565,8680,21498,8204,22565,21498,15706,15675,1071,1090,111,73,3432,2617,14,16,1323,1326,908,701
5126592,160,51,,,,,,Fairfax Station CDP,12030,4140,,,12030,,9487,,472,,15,,1462,,5,,210,,379,
5126701,160,51,,,,,,Fair Lakes CDP,7942,3358,,,7942,,4117,,690,,12,,2632,,2,,167,,322,
5126736,160,51,,,,,,Fairlawn CDP,2367,1193,2211,1065,2367,2211,2238,2050,66,122,4,3,31,5,2,0,8,6,18,25
5126875,160,51,,,,,,Fair Oaks CDP,30223,14367,,,30223,,17464,,2673,,62,,7815,,42,,908,,1259,
5126944,160,51,,,,,,Fairview CDP,240,69,,,240,,100,,136,,0,,4,,0,,0,,0,
5127040,160,51,,,,,,Fairview Beach CDP,391,312,230,222,391,230,370,224,11,0,1,0,2,2,0,0,2,0,5,4
5127200,160,51,,,,,,Falls Church city,12332,5489,10377,4725,12332,10377,9853,8817,532,340,33,25,1162,675,4,7,259,261,489,252
5128496,160,51,,,,,,Flint Hill CDP,209,124,,,209,,200,,7,,0,,0,,0,,0,,2,
5128528,160,51,,,,,,Floris CDP,8375,2562,,,8375,,4883,,294,,18,,2785,,6,,72,,317,
5128688,160,51,,,,,,Forest CDP,9106,3922,8006,3294,9106,8006,7996,7349,652,452,10,8,277,109,2,1,84,22,85,65
5129008,160,51,,,,,,Fort Belvoir CDP,7100,2018,7176,2056,7100,7176,4609,3996,1541,2284,43,39,176,123,32,64,179,364,520,306
5129040,160,51,,,,,,Fort Chiswell CDP,939,417,911,380,939,911,904,893,9,7,1,1,12,0,0,0,5,1,8,9
5129136,160,51,,,,,,Fort Hunt CDP,16045,6113,12923,5050,16045,12923,14698,11997,368,306,28,22,449,331,9,6,121,63,372,198
5129552,160,51,,,,,,Franconia CDP,18245,7627,31907,13509,18245,31907,10739,22099,3393,4329,69,95,2635,3419,23,35,570,727,816,1203
5129628,160,51,,,,,,Franklin Farm CDP,19288,6197,,,19288,,14766,,634,,38,,2996,,7,,247,,600,
5129744,160,51,,,,,,Fredericksburg city,24286,10467,19279,8888,24286,19279,15596,14108,5498,3935,100,65,689,291,17,11,1437,494,949,375
5129840,160,51,,,,,,Free Union CDP,193,82,,,193,,178,,1,,2,,1,,0,,4,,7,
5129920,160,51,,,,,,Fries town,484,340,614,337,484,614,469,606,5,4,1,1,1,0,0,0,1,1,7,2
5129968,160,51,,,,,,Front Royal town,14440,6184,13589,5752,14440,13589,12295,12000,1292,1180,35,38,204,85,7,6,212,90,395,190
5130208,160,51,,,,,,Galax city,7042,3252,6837,3217,7042,6837,6044,5887,439,428,7,31,37,48,8,1,363,377,144,65
5130384,160,51,,,,,,Gargatha CDP,381,187,,,381,,221,,128,,0,,2,,4,,21,,5,
5130480,160,51,,,,,,Gasburg CDP,481,636,,,481,,442,,30,,1,,3,,0,,3,,2,
5130496,160,51,,,,,,Gate City town,2034,1087,2159,1119,2034,2159,1932,2066,62,82,10,2,4,0,0,0,8,0,18,9
5130618,160,51,,,,,,George Mason CDP,9496,1730,,,9496,,6374,,893,,39,,1417,,7,,333,,433,
5131056,160,51,,,,,,Glade Spring town,1456,670,1374,626,1456,1374,1366,1269,70,97,3,1,1,2,0,0,3,3,13,2
5131200,160,51,,,,,,Glen Allen CDP,14774,6241,12562,5297,14774,12562,9431,9412,3781,2454,36,52,925,387,11,8,228,101,362,148
5131376,160,51,,,,,,Glen Lyn town,115,58,151,62,115,151,115,151,0,0,0,0,0,0,0,0,0,0,0,0
5131488,160,51,,,,,,Glenvar CDP,976,459,,,976,,931,,37,,0,,1,,1,,0,,6,
5131616,160,51,,,,,,Gloucester Point CDP,9402,4257,9429,4071,9402,9429,8287,8220,708,864,22,44,83,120,3,6,56,57,243,118
5131808,160,51,,,,,,Goochland CDP,861,338,,,861,,728,,83,,5,,21,,0,,3,,21,
5131968,160,51,,,,,,Goshen town,361,192,406,214,361,406,354,391,5,15,1,0,0,0,0,0,0,0,1,0
5132320,160,51,,,,,,Gratton CDP,937,412,,,937,,913,,11,,0,,4,,2,,1,,6,
5132496,160,51,,,,,,Great Falls CDP,15427,5179,8549,2852,15427,8549,12424,7594,280,103,17,12,2085,633,3,3,92,37,526,167
5132560,160,51,,,,,,Greenbackville CDP,192,145,,,192,,183,,4,,0,,0,,0,,0,,5,
5132592,160,51,,,,,,Greenbriar CDP,8166,3224,,,8166,,5556,,440,,19,,1450,,7,,369,,325,
5132624,160,51,,,,,,Greenbush CDP,220,96,,,220,,131,,55,,8,,1,,0,,25,,0,
5132944,160,51,,,,,,Greenville CDP,832,259,886,251,832,886,684,734,131,148,9,3,1,0,0,0,2,0,5,1
5133232,160,51,,,,,,Gretna town,1267,686,1257,635,1267,1257,778,761,467,489,2,1,6,1,0,0,1,2,13,3
5133488,160,51,,,,,,Grottoes town,2668,1135,2114,894,2668,2114,2461,2007,93,80,10,4,16,5,0,0,51,2,37,16
5133584,160,51,,,,,,Groveton CDP,14598,5634,21296,8275,14598,21296,7369,12491,3330,4125,76,66,1171,1650,7,21,1997,1994,648,949
5133648,160,51,,,,,,Grundy town,1021,465,1105,519,1021,1105,877,875,102,198,1,0,15,5,0,1,12,20,14,6
5133824,160,51,,,,,,Gwynn CDP,602,654,,,602,,560,,10,,1,,5,,0,,2,,24,
5134064,160,51,,,,,,Halifax town,1309,605,1389,583,1309,1389,812,871,468,502,5,1,8,2,0,0,3,4,13,9
5134176,160,51,,,,,,Hallwood town,206,108,290,121,206,290,172,244,26,13,1,3,0,0,0,0,2,26,5,4
5134304,160,51,,,,,,Hampden-Sydney CDP,1450,197,1264,184,1450,1264,1239,1043,169,210,4,0,12,3,0,0,11,0,15,8
5135000,160,51,,,,,,Hampton city,137436,59566,146437,57311,137436,146437,58642,72556,68104,65428,594,616,2992,2694,154,136,1826,1505,5124,3502
5135160,160,51,,,,,,Hanover CDP,252,117,,,252,,213,,34,,0,,4,,0,,1,,0,
5135240,160,51,,,,,,Harborton CDP,131,94,,,131,,121,,10,,0,,0,,0,,0,,0,
5135624,160,51,,,,,,Harrisonburg city,48914,17444,40468,13689,48914,40468,38371,34334,3112,2394,127,76,1718,1257,62,10,4030,1355,1494,1042
5135640,160,51,,,,,,Harriston CDP,909,369,,,909,,828,,32,,3,,4,,0,,21,,21,
5135912,160,51,,,,,,Hayfield CDP,3909,1465,,,3909,,3031,,424,,11,,248,,2,,58,,135,
5135976,160,51,,,,,,Haymarket town,1782,621,879,337,1782,879,1307,809,145,47,9,0,180,7,1,0,56,6,84,10
5136008,160,51,,,,,,Haysi town,498,128,186,99,498,186,488,182,4,4,1,0,2,0,0,0,0,0,3,0
5136216,160,51,,,,,,Heathsville CDP,142,102,,,142,,121,,16,,0,,0,,0,,5,,0,
5136445,160,51,,,,,,Henry Fork CDP,1234,551,,,1234,,833,,231,,12,,1,,0,,114,,43,
5136648,160,51,,,,,,Herndon town,23292,7813,21655,7190,23292,21655,11810,12535,2223,2060,154,91,4170,3002,5,10,3719,2805,1211,1152
5137032,160,51,,,,,,Highland Springs CDP,15711,6621,15137,6040,15711,15137,4659,6733,10388,7845,73,94,77,97,8,1,150,121,356,246
5137288,160,51,,,,,,Hillsboro town,80,38,96,41,80,96,65,93,1,3,0,0,6,0,0,0,2,0,6,0
5137544,160,51,,,,,,Hiwassee CDP,264,192,,,264,,258,,1,,0,,1,,0,,0,,4,
5138032,160,51,,,,,,Hollymead CDP,7690,3013,,,7690,,6376,,406,,13,,611,,2,,88,,194,
5138424,160,51,,,,,,Hopewell city,22591,10121,22354,9749,22591,22354,12515,13924,8367,7484,87,79,181,180,24,16,697,275,720,396
5138504,160,51,,,,,,Horntown CDP,574,1142,,,574,,301,,258,,2,,3,,0,,1,,9,
5138552,160,51,,,,,,Horse Pasture CDP,2227,1026,2255,1021,2227,2255,1485,1582,682,631,2,7,6,4,0,0,22,0,30,31
5138632,160,51,,,,,,Hot Springs CDP,738,571,,,738,,601,,120,,1,,3,,0,,1,,12,
5139224,160,51,,,,,,Hurt town,1304,642,1276,592,1304,1276,1103,1104,185,154,0,2,6,5,0,0,3,4,7,7
